REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"KERNIGHAN, B.; RITCHIE, D. C. A Linguagem de programação padrão ANSI.  Editora Campus, 1990. ",-2875,2,1,2017,,Complementar**,GEX003,Algoritmos e programação,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SCHILDT, Herbert. C completo e total.  São Paulo: Makron Books, 1997. ",-2876,2,1,2017,,Complementar**,GEX003,Algoritmos e programação,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CARVALHO, S. Estatística Básica: teoria e 150 questões.  2. ed. Rio de Janeiro: Elsevier, 2006. ",-2890,2,1,2017,,Complementar**,GEX210,Estatística Básica,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GERARDI, Lucia H. O.; SILVA, Barbara-Cristine N. Quantificação em Geografia.  São Paulo: DIFEL, 1981. ",-2891,2,1,2017,,Complementar**,GEX210,Estatística Básica,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SEBBEN, A.; MARQUES, A. C. H. Introdução à informática: uma abordagem com libreofficce Disponível em: cc.uffs.edu.br/downloads/ebooks/Introducao_a_Informatica.pdf. Chapecó: UFFS, 2012. ",-3092,2,1,2017,,B¿sica**,GEX208,Informática Básica,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MEYER, M.; BABER, R.; PFAFFENBERGER, B. Nosso futuro e o computador.  Porto Alegre: Bookman, 1999. ",-2877,2,1,2017,,Complementar**,GEX208,Informática Básica,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SCHECHTER, Renato. BROffice Calc e Writer: trabalhe com planilhas e textos em software livre.  Rio de Janeiro: Elsevier, 2006. ",-2878,2,1,2017,,Complementar**,GEX208,Informática Básica,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ABBA, Giuseppe. História crítica da filosofia moral.  . São Paulo: Raimundo Lulio, 2011. ",-2883,2,1,2017,,B¿sica**,GCH293,Introdução à Filosofia,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GALVAO, Pedro. Filosofia: Uma Introducao por Disciplinas.  Lisboa: Edicoes 70, 2012. ",-2884,2,1,2017,,B¿sica**,GCH293,Introdução à Filosofia,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MARCONDES, Danilo. Textos básicos de ética.  São Paulo: Zahar editores, 2009. ",-2885,2,1,2017,,B¿sica**,GCH293,Introdução à Filosofia,1101,1101201721,CIÊNCIAS DA COMPUTAÇÃO - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
