REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"BOULOS, P.; CAMARGO, I. Geometria analítica: um tratamento vetorial.  3. São Paulo: Pearson Education, 2005. ",-4023,1,1,2013,,B¿sica**,GEX195,Geometria Analítica,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"CUCHE, Denys. A noção de cultura das Ciências sociais.  Bauru: EDUSC, 1999. ",-4032,1,1,2013,,B¿sica**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"MARTINS, Maria Helena. Fronteiras culturais ¿ Brasil, Uruguay, Argentina.  São Paulo: Atelie Editorial, 2002. ",-4033,1,1,2013,,B¿sica**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"AMADO, Janaína. A Revolta dos Mucker.  São Leopoldo: UNISINOS, 2002. ",-4035,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"ANGELIS, Wilmar da Rocha d'. Para uma história do Oeste Catarinense. 10 anos de CEOM.  Chapecó: UNOESC, 1995. ",-4037,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"AXT, Gunter. As guerras dos gaúchos: história dos conflitos do Rio Grande do Sul.  Porto Alegre: Nova Prova, 2008. ",-4036,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"GRIJÓ, Luiz Alberto; NEUMANN, Eduardo. O continente em armas: uma história
da guerra no sul do Brasil.  Rio de Janeiro: Apicuri, 2010. ",-4039,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"GUAZZELLI, César; KUHN, Fábio; GRIJÓ, Luiz Alberto; NEUMANN, Eduardo. Capítulos de História do Rio Grande do Sul.  Porto Alegre: UFRGS, 2004. ",-4038,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"LEITE, Ilka Boaventura. Negros no Sul do Brasil: Invisibilidade e territorialidade.  Floranópolis: Letras Contemporâneas, 1996. ",-4040,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
"OLIVEIRA, Roberto Cardoso de. Identidade, etnia e estrutura social.  São Paulo: Livraria Pioneira, 1976. ",-4041,1,1,2013,,Complementar**,GCH292,História da Fronteira Sul,1301,1301201311,ENGENHARIA AMBIENTAL E SANITÁRIA - BACHARELADO,1,,,50,0,Biblioteca Chapecó,0,,
