REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"GURGEL, Cristina. Doenças e Curas ¿ O Brasil nos primeiros séculos. São Paulo: Ed. Contexto, 2011. ",-7269,2,1,2018,,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"LE GOFF, Jacques. As Doenças têm história.  2 ed. Lisboa: Terramar, 1997. ",-7270,2,1,2018,,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"OLIVEIRA, Marilia F.S.de; OLIVEIRA, Orlando J.R. Na trilha do caboclo: cultura, saúde e natureza. Vitória da Conquista: UESB, 2007. ",-7271,2,1,2018,,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"PORTER, Roy. Das tripas coração: uma breve história da medicina. Rio de Janeiro: Record, 2004. ",-7272,2,1,2018,,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"PORTER, Roy. Medicina A História da Cura. Das antigas tradições as práticas modernas. Portugal: Centralivros e Livros & Livros, 2002. ",-7275,2,1,2018,,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"TEMPO. Revista do Departamento de História da UFF, n. 19. Rio de Janeiro: ",-7268,2,1,2018,10,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"UJVARI, Stefan Cunha. A história da humanidade contada pelos vírus: bactérias, parasitas e outros microorganismos. São Paulo: Contexto, 2009. ",-7278,2,1,2018,,B¿sica**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
CADERNOS CEDES. Campinas: ,-7284,2,1,2018,23 n. 59,Complementar**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"ENTRALGO, P.L. História de la medicina.  7 ed. Madrid: Masson, 2006. ",-7279,2,1,2018,1,Complementar**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"MUKHERJEE, Siddhartha. O imperador de todos os males: uma biografia do câncer. São Paulo: Companhia das Letras, 2012. ",-7281,2,1,2018,,Complementar**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"REGO, S. A Formação Ética dos Médicos: saindo da adolescência com a vida (dos outros) nas mãos. Rio de Janeiro: Fiocruz, 2003. ",-7286,2,1,2018,,Complementar**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"UJVARI, Stefan Cunha. A História do século XX pelas descobertas da medicina.  São Paulo: Contexto, 2014. ",-7287,2,1,2018,,Complementar**,GSA143,Construção histórica da medicina,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"HENRY, J. A. A Revolução Científica: origens da ciência moderna. Rio de Janeiro: Zahar, 1998. ",-7207,2,1,2018,,B¿sica**,GCH290,Iniciação à Prática Científica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"JAPIASSU, Hilton F. Epistemologia O mito da neutralidade científica. (Série Logoteca). Rio de Janeiro: Imago, 1975. ",-7208,2,1,2018,,B¿sica**,GCH290,Iniciação à Prática Científica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"D¿ACAMPORA, A. J. Investigação científica.  Blumenau: Nova Letra, 2006. ",-7209,2,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"GALLIANO, A. G. O. Método Científico: teoria e prática. São Paulo: HARBRA, 1986. ",-7210,2,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"ABBA, Giuseppe. História crítica da filosofia moral.  São Paulo: Raimundo Lulio, 2011. ",-7307,2,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"GALVÃO, Pedro (Org.). Filosofia: Uma Introdução por Disciplinas. Lisboa: Edições 70, 2012. ",-7308,2,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"MARCONDES, Danilo. Textos básicos de ética.  São Paulo: Zahar editores, 2009. ",-7309,2,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"JAMESON, Frederic. Pós-modernismo: a lógica cultural do capitalismo tardio. 2 ed. São Paulo: Autores Associados, 2007. ",-7310,2,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"REALE, Giovanni; ANTISERI, Dario. História da filosofia.  7 ed. São Paulo: Paulus, 2002. ",-7311,2,1,2018,3,Complementar**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"SARTRE, Jean-Paul. Questão de método.  São Paulo: Difusão Européia do Livro, 1972. ",-7313,2,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"SCHILLER, Friedrich. Sobre a educação estética.  São Paulo: Herder, 1963. ",-7316,2,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"SILVA, Márcio Bolda. Rosto e alteridade: para um critério ético em perspectiva latino- americana. São Paulo: Paulus, 1995. ",-7318,2,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"BERNE, R.M.; LEVY, M.N. (Coord.). Fisiologia.  6. Rio de Janeiro: Guanabara Koogan, 2009. ",-7235,2,1,2018,,B¿sica**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"GARTNER, L.P. & HIATT, J.L. Histologia Essencial.  1. Editora Elsevier: 2012, ",-7236,2,1,2018,,B¿sica**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"MOORE, K.L. et al. Anatomia orientada para a clínica.  7. Rio de Janeiro: Guanabara Koogan, 2014. ",-7242,2,1,2018,,B¿sica**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"DRAKE, R.L.; VOGT, W.; MITCHELL, A. Gray: anatomia clínica para estudantes. Rio de Janeiro: Elsevier, 2015. ",-7245,2,1,2018,,Complementar**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"HANSEN,J.T. Netter Anatomia Clínica.  3. Rio de Janeiro: Elsevier, 2015. ",-7247,2,1,2018,,Complementar**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"PINA, J.A.E. Anatomia humana da locomoção.  4 ed. Lisboa: Lidel, 2010. ",-7254,2,1,2018,,Complementar**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"ROSSE, C.; CADUM-ROSSE, P. Tratado de anatomia de Hollinshead.  5 ed. Rio de Janeiro: Revinter, 2006. ",-7256,2,1,2018,,Complementar**,GSA271,Morfofisiologia I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"ALBERTS B.; BRAY, D.; HOPKIN, K. et al. Fundamentos de biologia celular.  3 ed. Porto Alegre: Artmed, 2011. ",-7258,2,1,2018,,B¿sica**,GSA142,Processos biológicos I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"ANTUNES, I. Análise de Textos: fundamentos e práticas. São Paulo: Parábola, 2010. ",-7288,2,1,2018,,B¿sica**,GLA104,Produção Textual Acadêmica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"CITELLI, Adilson. O texto argumentativo.  São Paulo: Scipione, 1994. ",-7289,2,1,2018,,B¿sica**,GLA104,Produção Textual Acadêmica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"MARCUSCHI, L. A. Produção textual, análise de gêneros e compreensão.  São Paulo: Parábola Editorial, 2008. ",-7292,2,1,2018,,B¿sica**,GLA104,Produção Textual Acadêmica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"KOCH, Ingedore V; I. V.; ELIAS, V. M. Ler e escrever: estratégias de produção textual.  São Paulo: Contexto, 2009. ",-7304,2,1,2018,,Complementar**,GLA104,Produção Textual Acadêmica,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
CIÊNCIA E SAÚDE COLETIVA. ISSN 18(6):1613-24. ,-7204,2,1,2018,,B¿sica**,GSA140,Saúde Coletiva I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"PAIM, J. ALMEIDA-FILHO, N. Saúde Coletiva: Teoria e Prática. 1. Rio de Janeiro: Med Book, 2014. ",-7206,2,1,2018,,B¿sica**,GSA140,Saúde Coletiva I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
LIINC EM REVISTA. ,-7321,2,1,2018,1 n.1,B¿sica**,GSA268,Seminário Integrador I,1411,1411201821,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"Di RENZO et al. Manual Prático de Ginecologia e Obstetrícia Para Clínica e
Emergência.  1 ed. Elsevier, 2016. ",-7509,2,10,2018,,B¿sica**,GSA297,Estágio Curricular Obrigatório II,1411,14112018210,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"HUMES, E.C.; VIEIRA, M.E.B.; FRÁGUAS JÚNIOR, R. Psiquiatria Interdisciplinar.  Barueri: Manole, 2016. ",-7510,2,10,2018,,B¿sica**,GSA297,Estágio Curricular Obrigatório II,1411,14112018210,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"BOTEGA, N. J. Crise suicida: avaliação e manejo. Porto Alegre: Artmed, 2015. ",-7511,2,10,2018,,Complementar**,GSA297,Estágio Curricular Obrigatório II,1411,14112018210,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"GARCIA, F.D. (org). Manual de abordagem de dependências químicas.  Belo Horizonte: Utopika Editorial, 2014. ",-7512,2,10,2018,,Complementar**,GSA297,Estágio Curricular Obrigatório II,1411,14112018210,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"PIVA, J.P.; GARCIA, P.C.R. Medicina Intensiva em Pediatria.  2 ed. São Paulo: Revinter, 2014. ",-7513,2,10,2018,,Complementar**,GSA297,Estágio Curricular Obrigatório II,1411,14112018210,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"URBANETZ, AA. Ginecologia e Obstetrícia: FEBRASGO para o Médico Residente. 1 ed. : Manole, 2016. ",-7514,2,10,2018,,Complementar**,GSA297,Estágio Curricular Obrigatório II,1411,14112018210,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"Di RENZO et al. Manual Prático de Ginecologia e Obstetrícia Para Clínica e Emergência.  1 ed. Elsevier, 2016. ",-7515,2,11,2018,,B¿sica**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"HUMES, E.C.; VIEIRA, M.E.B.; FRÁGUAS JÚNIOR, R. Psiquiatria Interdisciplinar.  Barueri: Manole, 2016. ",-7516,2,11,2018,,B¿sica**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"BOTEGA, N. J. Crise suicida: avaliação e manejo. Porto Alegre: Artmed, 2015. ",-7517,2,11,2018,,Complementar**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"GARCIA, F.D. (org). Manual de abordagem de dependências químicas.  Belo Horizonte: Utopika Editorial, 2014. ",-7518,2,11,2018,,Complementar**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"PIVA, J.P.; GARCIA, P.C.R. Medicina Intensiva em Pediatria.  2 ed. São Paulo: Revinter, 2014. ",-7519,2,11,2018,,Complementar**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"URBANETZ, AA. Ginecologia e Obstetrícia: FEBRASGO para o Médico Residente. 1 ed. : Manole, 2016. ",-7520,2,11,2018,,Complementar**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"VASCONCELOS, E. M. Educação Popular e a atenção à Saúde da Família.  São Paulo: Hucitec, 1999. ",-7521,2,11,2018,,Complementar**,GSA299,Estágio Curricular Obrigatório III,1411,14112018211,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"Di RENZO et al. Manual Prático de Ginecologia e Obstetrícia Para Clínica e Emergência.  1 ed. Elsevier: 2016, ",-7527,2,12,2018,,B¿sica**,GSA300,Estágio Curricular Obrigatório IV,1411,14112018212,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"HUMES, E.C.; VIEIRA, M.E.B.; FRÁGUAS JÚNIOR, R. Psiquiatria Interdisciplinar.  Barueri: Manole, 2016. ",-7528,2,12,2018,,B¿sica**,GSA300,Estágio Curricular Obrigatório IV,1411,14112018212,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
"BOTEGA, N. J. Crise suicida: avaliação e manejo. Porto Alegre: Artmed, 2015. ",-7530,2,12,2018,,Complementar**,GSA300,Estágio Curricular Obrigatório IV,1411,14112018212,MEDICINA - INTEGRAL,1,,,40,0,Biblioteca Chapecó,0,,
