REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"AZEVEDO, Alessandra de; GITAHY, Leda. A História da Mondragón Corporación cooperativa: uma experiência de inter-cooperação..  Salvador: Eduneb, 2009. ",-3639,1,1,2017,,B¿sica**,GCS525,Fundamentos do Cooperativismo,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"CAMPOS, Ginez Leopoldo R. de. Cooperativismo agrário e integração econômica: a agricultura familiar no MERCOSUL..  Passo Fundo: UPF, 1998. ",-3640,1,1,2017,,B¿sica**,GCS525,Fundamentos do Cooperativismo,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"FRANÇA, Bárbara Heliodora; BARBOSA, Érica; CASTRO, Rafaelle; SANTOS, Rodrigo. Guia de Economia Solidária: ou porque não organizar cooperativas para populações carentes..  Niterói: UFF, 2008. ",-3641,1,1,2017,,B¿sica**,GCS525,Fundamentos do Cooperativismo,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"GEDIEL, José Antônio (org.). Os caminhos do cooperativismo.  Curitiba: UFPR, 2001. ",-3642,1,1,2017,,B¿sica**,GCS525,Fundamentos do Cooperativismo,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"MANCE, Euclides André. Redes de colaboração solidária: aspectos econômico-filosóficos: complexidade e libertação..  Petrópolis-RJ: Vozes, 2002. ",-3643,1,1,2017,,B¿sica**,GCS525,Fundamentos do Cooperativismo,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"ARROYO, João C. T.; SCHUCH, Flávio C. Economia popular e solidária: alavanca para um desenvolvimento sustentável e solidário.  São Paulo: Fundação Perseu Abramo, 2006. ",-3644,1,1,2017,,Complementar**,GCS525,Fundamentos do Cooperativismo,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"SOBRAL, Filipe; PECI, Alketa. Administração: teoria e prática no contexto brasileiro..  2. São Paulo: Pearson Prentice Hall, 2013. ",-3645,1,1,2017,,B¿sica**,GCS534,Introdução à Administração,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"STONER, James Arthur Finch; FREEMAN, R. Edward. Administração.  5. Rio de Janeiro: LTC, 1999. ",-3646,1,1,2017,,B¿sica**,GCS534,Introdução à Administração,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"JONES, Gareth R. Teoria das organizações.  6. São Paulo: Pearson Prentice Hall, 2010. ",-3647,1,1,2017,,Complementar**,GCS534,Introdução à Administração,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"LACOMBE, Francisco. Teoria geral da administração.  São Paulo: Saraiva, 2009. ",-3648,1,1,2017,,Complementar**,GCS534,Introdução à Administração,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"MARCOVITCH, Jacques. Pioneiros e empreendedores: a saga do desenvolvimento no Brasil..  2. São Paulo: Ed. USP, 2006. ",-3649,1,1,2017,3,Complementar**,GCS534,Introdução à Administração,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"ROBBINS, Stephen P.; DECENZO, David A.; WOLTER, Robert M. A Nova Administração: Mudanças e Perspectivas..  São Paulo: Saraiva, 2014. ",-3650,1,1,2017,,Complementar**,GCS534,Introdução à Administração,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"BARBOSA, J. L. M. Geometria Euclidiana Plana.  Rio de Janeiro: SBM, 2000. ",-3652,1,1,2017,,B¿sica**,GEX212,Matemática B,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"CARVALHO, P. C. P. Introdução à geometria espacial.  Rio de Janeiro: SBM, 2000. ",-3653,1,1,2017,,B¿sica**,GEX212,Matemática B,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"DEMANA, D. F. et al. Pré-Cálculo..  2. São Paulo: Addison Wesley, 2013. ",-3651,1,1,2017,,B¿sica**,GEX212,Matemática B,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
"ANTUNES, I. Análise de Textos: fundamentos e práticas.  São Paulo: Parábola, 2010. ",-3654,1,1,2017,,B¿sica**,GLA104,Produção Textual Acadêmica,1600,1600201711,ADMINISTRAÇÃO (ÊNFASE PEQUENOS EMPREEND. E COOP.) MATUTINO,1,,,50,0,Biblioteca Chapecó,0,,
