REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"EPICURO. Máximas Principais..  São Paulo: Loyola, 2010. ",-3137,1,1,2018,,B¿sica**,GCH823,Filosofia antiga,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"OS PRÉ-SOCRÁTICOS. Fragmentos, doxografia e comentários. São Paulo: Abril Cultural, 1974. ",-3138,1,1,2018,,B¿sica**,GCH823,Filosofia antiga,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SOFISTAS. Testemunhos e fragmentos. Lisboa: Imprensa Nacional ¿ Casa da Moeda, 2005. ",-3139,1,1,2018,,B¿sica**,GCH823,Filosofia antiga,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CORNFORD, F. M. La teoría platónica del conocimiento..  Madrid/Buenos Aires: Paidós, 2007. ",-3140,1,1,2018,,Complementar**,GCH823,Filosofia antiga,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HENRY, J. A Revolução Científica: origens da ciência moderna..  Rio de Janeiro: Zahar, 1998. ",-3120,1,1,2018,,B¿sica**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"JAPIASSU, Hilton F. Epistemologia. O mito da neutralidade científica..  Rio de Janeiro: Imago, 1975. ",-3121,1,1,2018,,B¿sica**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"APPOLINÁRIO. Metodologia da ciência: filosofia e prática da pesquisa..  São Paulo: Pioneira Thomson, 2006. ",-3122,1,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GALLIANO, A. G. O Método Científico: teoria e prática..  São Paulo: HARBRA, 1986. ",-3123,1,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GIL, A. C. Métodos e Técnicas de Pesquisa Social..  5. São Paulo: Atlas, 1999. ",-3124,1,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"REY, L. Planejar e Redigir Trabalhos Científicos..  4. São Paulo: Edgard Blücher, 2003. ",-3125,1,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SANTOS, A. R. dos. Metodologia científica: a construção do conhecimento..  6. Rio de Janeiro: DP&A, 2004. ",-3126,1,1,2018,,Complementar**,GCH290,Iniciação à Prática Científica,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ABBA, Giuseppe. História crítica da filosofia moral..  São Paulo: Raimundo Lulio, 2011. ",-3111,1,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GALVÃO, Pedro (Org.). Filosofia: Uma Introdução por Disciplinas..  Lisboa: Edições 70, 2012. ",-3112,1,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HESSEN, J. Teoria do conhecimento..  São Paulo: Martins Fontes, 2003. ",-3113,1,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MARCONDES, Danilo. Textos básicos de ética..  São Paulo: Zahar Editores, 2009. ",-3114,1,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"VAZQUEZ, Adolfo Sanchez. Ética.  São Paulo: Civilização Brasileira, 2005. ",-3115,1,1,2018,,B¿sica**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"JAMESON, Frederic. Pós-modernismo: a lógica cultural do capitalismo tardio..  São Paulo: Autores Associados, 2007. ",-3116,1,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SARTRE, Jean-Paul. Questão de método..  São Paulo: Difusão Européia do Livro, 1972. ",-3117,1,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SCHILLER, Friedrich. Sobre a educação estética..  São Paulo: Herder, 1963. ",-3118,1,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SILVA, Márcio Bolda. Rosto e alteridade: para um critério ético em perspectiva latino americana..  São Paulo: Paulus, 1995. ",-3119,1,1,2018,,Complementar**,GCH293,Introdução à Filosofia,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"FARACO, Carlos A.; TEZZA, Cristovão. Prática de textos para estudantes universitários.  Petrópolis: Vozes, 2008. ",-3104,1,1,2018,,B¿sica**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MACHADO, Anna R.; LOUSADA, Eliane; ABREU-TARDELLI, Lilia S. Resumo.  São Paulo: Parábola Editoria, 2004. ",-3105,1,1,2018,,B¿sica**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MEDEIROS, João B. Redação científica. A prática de fichamento, resumos..  São Paulo: Atlas, 2006. ",-3106,1,1,2018,,B¿sica**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"COSTE, D. O texto: leitura e escrita..  Campinas: Pontes, 2002. ",-3107,1,1,2018,,Complementar**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GARCEZ, Lucília. Técnica de redação: o que é preciso saber para bem escrever..  São Paulo: Martins Fontes, 2008. ",-3108,1,1,2018,,Complementar**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MOTTA-ROTH, Desirré (Org.). Redação Acadêmica: princípios básicos..  Santa Maria: Imprensa Universitária, 2001. ",-3109,1,1,2018,,Complementar**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SILVEIRA MARTINS, Dileta; ZILBERKNOP, Lúbia S. Português Instrumental: de acordo com as atuais normas da ABNT..  São Paulo: Atlas, 2010. ",-3110,1,1,2018,,Complementar**,GLA102,Leitura e Produção Textual I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"KNEALE, W. e KNEALE, M. O desenvolvimento da lógica..  Lisboa: Fundação Calouste Gulbenkian, 1980. ",-3127,1,1,2018,,B¿sica**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ABELARDO, P. Lógica para principiantes..  São Paulo: UNESP, 2005. ",-3128,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"ARISTOTELES. Aristotle: in twenty-three volumes, Vol. 1: The categories. On interpretation..  Harvard: Harvard University Press. LOEB Clasical Library, 1938. ",-3131,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"ARISTOTELES. Posterior Analytics..  2. Oxford: Clarendon Press, 1993. ",-3129,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"CORCORAN, J. Ancient Logic and its Modern Interpretation.  Boston: D. Reider Pub. Co, 1974. ",-3132,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"CRIVELLI, P. Aristotle on Truth..  Cambridge: Cambridge University Press, 2004. ",-3133,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"FINLEY, Moses I. O legado da Grécia: uma nova avaliação..  Brasília: UNB, 1998. ",-3141,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"KAHN, Charles H. A arte e o pensamento de Heráclito: uma edição dos fragmentos com tradução e comentário..  São Paulo: Paulus, 2009. ",-3142,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"LONG, A. A. Primórdios da Filosofia Grega..  Aparecida: Idéias & Letras, 2008. ",-3143,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"LUKASIEWICZ, J. Aristotle's syllogistic: from the standpoint of modern formal logic..  Oxford: Clarendon Press, 1957. ",-3130,1,1,2018,,Complementar**,GCH822,Lógica I,1701,1701201811,LICENCIATURA EM FILOSOFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
