REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"CUNHA, José Marcos Pinto da (Org.). Mobilidade Espacial da População: desafios teóricos e metodológicos para o seu estudo.  Campinas: NEPO/UNICAMP, 2012. ",-5641,2,1,2013,,B¿sica**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MATOS, Ralfo (Org.). Espacialidades em rede: população, urbanização e migração no Brasil Contemporâneo.  Belo Horizonte: C/Arte, 2005. ",-5642,2,1,2013,,B¿sica**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ROCHEFORT, Michel. O desafio urbano nos países do Sul.  Campinas: Edições Territorial, 2008. ",-5644,2,1,2013,,B¿sica**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SANTOS, Milton. O espaço do cidadão.  7. São Paulo: EDUSP, 2007. ",-5645,2,1,2013,,B¿sica**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"TORRES, Haroldo; COSTA, Heloisa (Org.). População e meio ambiente.  2. São Paulo: SENAC, 2000. ",-5647,2,1,2013,,B¿sica**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"BAENINGER, Rosana (Org.). População e cidades: subsídios para o planejamento e para as políticas sociais.  Campinas: UNFPA, 2010. ",-5648,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"BEAUJEU-GARNIER, Jacqueline. Geografia da População.  São Paulo: EDUSP, 1980. ",-5650,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"DUPÂQUIER, Jaques. População mundial no século XX.  Lisboa: Instituto Piaget, 2002. ",-5652,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"GEORGE, Pierre. Geografia da População.  São Paulo: Difel, 1971. ",-5653,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"HOGAN, Daniel Joseph; MARANDOLA JR., Eduardo; OJIMA, Ricardo. População e ambiente: desafios à sustentabilidade.  São Paulo: Edgard Blüncher, 2010. ",-5654,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"MARTINS, José de Souza. A imigração e a crise do Brasil Agrário.  São Paulo: Pioneiro, 1973. ",-5655,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"ROLLET, Catherine. La population du munde: bientot 7 milliards, et après? Paris: Larousse, 2010. ",-5656,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"SANTOS, Milton. Pobreza Urbana.  2. São Paulo: EDUSP, 2009. ",-5657,2,1,2013,,Complementar**,GCH619,Geografia da população,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"FOSSEN, H. Geologia estrutural.  Oficina de Textos, 2012. ",-5595,2,1,2013,,B¿sica**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HASUI, Y.; CARNEIRO, C.D.R.; ALMEIDA, F.F.M.de.; BARTORELLI, A. (Org.). Geologia do Brasil.  São Paulo: Beca, 2012. ",-5597,2,1,2013,,B¿sica**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"LEINZ, V.; AMARAL, S. S. Geologia geral.  14. Rio de Janeiro: Nacional, 2001. ",-5599,2,1,2013,,B¿sica**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SGARBI, G.N.C (org). Petrografia macroscópica das rochas ígneas, sedimentares e metamórficas.  2. Belo Horizonte: UFMG, 2012. ",-5601,2,1,2013,,B¿sica**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"BIZZI, L. A.; SCHOBBENHAUS, C.; VIDOTTI, R. M.; GONÇALVES, J. H. Geologia, Tectônica e Recursos Minerais do Brasil.  Brasília: CPRM, 2003. ",-5604,2,1,2013,,Complementar**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"DUTROW, Barbara.; KLEIN, Cornelis. Manual de Ciência dos Minerais.  23: Bookman, 2011. ",-5608,2,1,2013,,Complementar**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HOLZ, Michael. Estratigrafia de sequências: histórico, princípios e aplicações.  Interciência, 2012. ",-5606,2,1,2013,,Complementar**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MENDES, J. C. Elementos de Estratigrafia.  São Paulo: T. A. Queróz, 1992. ",-5607,2,1,2013,,Complementar**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SILVA, Carlos Roberto da. Geodiversidade do Brasil.  Rio de Janeiro: CPRM, 2008. ",-5603,2,1,2013,,Complementar**,GEX555,Geologia geral,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"AB'SABER, Aziz Nacib. O que é ser Geógrafo? Rio de Janeiro: Record, 2007. ",-5626,2,1,2013,,B¿sica**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CAPEL, Horacio. Filosofía y ciencia en la Geografía contemporánea. Una introducción a la Geografia.  Barcelona: Ediciones del Serbal, 2012. ",-5627,2,1,2013,,B¿sica**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CLAVAL, Paul. História da Geografia.  Lisboa: Edições 70, 2006. ",-5628,2,1,2013,,B¿sica**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CLAVAL, Paul. Terra dos Homens.  São Paulo: Contexto, 2010. ",-5629,2,1,2013,,B¿sica**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"RECLUS, Elisée. Da ação humana na Geografia Física: Geografia comparada no espaço e no tempo.  São Paulo: Expressão e Arte, 2010. ",-5630,2,1,2013,,B¿sica**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SANTOS, Milton. Pensando o Espaço do Homem.  São Paulo: EDUSP, 2007. ",-5631,2,1,2013,,B¿sica**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ALBULQUERQUE, E. S. (Org.). Que país é esse? Pensando o Brasil contemporâneo.  São Paulo: Globo, 2006. ",-5633,2,1,2013,,Complementar**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"CORRÊA, Roberto Lobato. Trajetórias geográficas.  Rio de Janeiro: Bertrand Brasil, 1997. ",-5637,2,1,2013,,Complementar**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
"MORAES, Antonio Carlos Robert. O conceito território em Milton Santos.  São Paulo: Annablume, 2013. ",-5639,2,1,2013,,Complementar**,GCH618,História do pensamento geográfico ,1711,1711201321,LICENCIATURA EM GEOGRAFIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,1
