REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"FUNARI, Pedro Paulo; NOELLI, Francisco. Pré-história do Brasil.  São Paulo: Contexto, 2006. ",-4964,2,1,2013,,B¿sica**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"PROUS, A. Arqueologia Brasileira.  Brasília: UnB, 1992. ",-4966,2,1,2013,,B¿sica**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"TRIGGER, Bruce. História do Pensamento Arqueológico.  São Paulo: Odysseu, 2004. ",-4968,2,1,2013,,B¿sica**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"VÁRIOS autores. Antes de Cabral: Arqueologia Brasileira.  São Paulo: USP, 1999-2000. ",-4969,2,1,2013,,B¿sica**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"BICHO, Nuno Ferreira. Manual de Arqueologia Pré-Histórica.  Lisboa: Edições 70, 2006. ",-4971,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GASPAR, Madu. A arte rupestre no Brasil.  Rio de Janeiro: Zahar, 2003. ",-4972,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HETZEL, Bia; NEGREIROS, Silvia. Pré-História do Brasil.  Rio de Janeiro: Manati, 2007. ",-4973,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"LEAKEY, Richard; LEWIN, Roger. O povo do Lago.  Brasília: UnB, 1978. ",-4974,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"NEVES, Eduardo Góes. Arqueologia da Amazônia.  Rio de Janeiro: Zahar, 2006. ",-4975,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"RATHZ, Philip. Convite à arqueologia.  Rio de Janeiro: Imago, 1989. ",-4976,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SILVA, Hilton; RODRIGUES-CARVALHO, Claudia. Nossa Origem.  Rio de Janeiro: Vieira & Lent, 2006. ",-4977,2,1,2013,,Complementar**,GCH364,Arqueologia pré-histórica ,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CARVALHO, S. Estatística Básica: teoria e 150 questões.  2. Rio de Janeiro: Elsevier, 2006. ",-4982,2,1,2013,,Complementar**,GEX210,Estatística Básica,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GERARDI, Lúcia H. O.; SILVA, Barbara-Cristine N. Quantificação em Geografia.  São Paulo: DIFEI, 1981. ",-4983,2,1,2013,,Complementar**,GEX210,Estatística Básica,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"AMIET, Pierre. A antiguidade oriental.  : Mem Martins: Europa-América, 2004. ",-4917,2,1,2013,,B¿sica**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CARDOSO, Ciro Flamarion S. Sociedades do antigo oriente próximo.  4. São Paulo: Ática, 2007. ",-4918,2,1,2013,,B¿sica**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"FINLEY, Moses. História antiga: testemunhos e modelos.  São Paulo: Martins Fontes, 1994. ",-4919,2,1,2013,,B¿sica**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ALBANESE, Marília. Índia antiga.  Barcelona: Folio, 2006. ",-4920,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ANDERSON, Perry. Passagens da antiguidade ao feudalismo.  São Paulo: Brasiliense, 2001. ",-4921,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ANDRADE FILHO, Ruy. Os muçulmanos na Península Ibérica.  São Paulo: Contexto, 1997. ",-4922,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"ANDRÉ-SALVINI, Béatrice. Babilónia.  Mem Martins: Europa-América, 2003. ",-4923,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"BOUZON, Emanuel. Ensaios Babilônicos.  Porto Alegre: EDIPUCRS, 1998. ",-4924,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"BOUZON, Emanuel. O Código de Hammurabi.  Rio de Janeiro: Vozes, 1986. ",-4926,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CANFORA, Júlio. Júlio César: o ditador democrático.  São Paulo: Estação Liberdade, 2002. ",-4928,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CARDOSO, Ciro Flamarion. Deuses, Múmias e Ziggurats ¿ uma comparação das religiões antigas do Egito e da Mesopotâmia.  Porto Alegre: EDIPUCRS, 1999. ",-4929,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CARDOSO, Ciro Flamarion. O trabalho compulsório na antiguidade.  Rio de Janeiro: Graal, 2003. ",-4930,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"DESPLANQUES, Sophie. Egito antigo.  Porto Alegre: L&PM, 2009. ",-4931,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"DROYSEN, Johann Gustav. Alexandre o Grande.  Rio de Janeiro: Contraponto, 2010. ",-4933,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"FUNARI, Pedro Paulo. Cultura popular na antiguidade clássica.  São Paulo: Contexto, 1989. ",-4934,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GOLDSWORTHY, Adrian. César: a vida de um soberano.  2. Rio de Janeiro: Record, 2011. ",-4949,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"GUARINELLO, Norberto Luiz. Imperialismo greco-romano.  São Paulo: Ática, 1994. ",-4951,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HARTOG, François. O espelho de Heródoto: ensaio sobre a representação do outro.  Belo Horizonte: UFMG, 1999. ",-4953,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HOLLAND, Tom. Fogo persa: o primeiro império mundial.  Rio de Janeiro: Record, 2008. ",-4936,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"HOOKER, J. T. Lendo o Passado ¿ do cuneiforme ao alfabeto. A história da escrita antiga.  São Paulo: Edusp Melhoramentos, 1996. ",-4937,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"JOHNSON, Paul. História ilustrada do Egito Antigo.  Rio de Janeiro: Ediouro, 2002. ",-4938,2,1,2013,,Complementar**,GCH363,História Antiga I,1721,1721201321,LICENCIATURA EM HISTÓRIA - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
