REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"AXT, Gunter. As guerras dos gaúchos: história dos conflitos do Rio Grande do Sul.  Porto Alegre: Nova Prova, 2008. ",-4902,2,1,2010,,B¿sica**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"BOEIRA, Nelson; GOLIN, Tau. História Geral do Rio Grande do Sul.  Passo Fundo: Méritos, 2006. ",-4903,2,1,2010,6,B¿sica**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CEOM. Para uma história do Oeste Catarinense. 10 anos de CEOM.  Chapecó: UNOESC, 1995. ",-4904,2,1,2010,,B¿sica**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"WACHOWICZ, Ruy Christovam. História do Paraná.  Curitiba: Gráfica Vicentina, 1988. ",-4905,2,1,2010,,B¿sica**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"CABRAL, Oswaldo Rodrigues. História de Santa Catarina.  Florianópolis/Rio de Janeiro:: Sec/Laudes,, 1970. ",-4906,2,1,2010,,Complementar**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"SANTOS, Sílvio Coelho dos. Índios e brancos no Sul do Brasil.  Florianópolis: Lunardelli, 1973. ",-4907,2,1,2010,,Complementar**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"VALENTINI, Delmir José. Atividades da Brazil Railway Company no sul do Brasil: a instalação da Lumber e a guerra na região do contestado: 1906-1916.  Porto Alegre: PUC/RS, 2009. ",-4908,2,1,2010,,Complementar**,GCH029,História da Fronteira Sul,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"MEYER, M.; BABER, R.; PFAFFENBERGER, B. Nosso futuro e o computador.  Porto Alegre: Bookman, 1999. ",-4901,2,1,2010,,Complementar**,GEX002,Introdução à Informática,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"COHN, Gabriel (Org.). Max Weber: Sociologia.  2. São Paulo: Atica, 1982. ",-4910,2,1,2010,,B¿sica**,GCH011,Introdução ao Pensamento Social,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
"IANNI, Octávio (Org.). Karl Marx: Sociologia.  São Paulo: Ática, 1982. ",-4909,2,1,2010,,B¿sica**,GCH011,Introdução ao Pensamento Social,1741,1741201021,LICENCIATURA EM CIÊNCIAS SOCIAIS - NOTURNO,1,,,50,0,Biblioteca Chapecó,0,,
