REFERENCIA_ORDENADA,COD_ACERVO,SEMESTRE,PERIODO,ANO,VOLUME,TIPO_BIBLIOGRAFIA,COD_DISCIPLINA,DESC_DISCIPLINA,CODIGO_DEPARTAMENTO,SEQ_PROGRAMA,NOME_DEPARTAMENTO,COD_BIBLIOTECA,RESPONSAVEL,AQU_ITEM,VAGAS,QTDE_EMP,DESC_BIBLIOTECA,QTDE_EXE,VAGAS_EXE,CONCEITO
"CARVALHO, José Murilo. Desenvolvimento da cidadania no Brasil..  México: Fundo de Cultura Econômica,, 1995. ",-5468,2,1,2010,,B¿sica**,GCS010,Direitos e Cidadania,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"FINKELMAN, Jacobo (Org.). Caminhos da Saúde Pública no Brasil.  Rio de Janeiro: Editora Fiocruz, 2002. ",-5470,2,1,2010,,Complementar**,GCS010,Direitos e Cidadania,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"HABERMAS, Jürgen. A inclusão do outro: estudos de teoria política.  São Paulo: Loyola, 2002. ",-5471,2,1,2010,,Complementar**,GCS010,Direitos e Cidadania,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"MARSHALL, T. H. Cidadania, classe social e status.  Rio de Janeiro: Zahar, 1967. ",-5469,2,1,2010,,Complementar**,GCS010,Direitos e Cidadania,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"REZENDE, A. L. M. de. Saúde, dialética do pensar e do fazer.  2. São Paulo: Cortez, 1989. ",-5472,2,1,2010,,Complementar**,GCS010,Direitos e Cidadania,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"SAES, Décio Azevedo. Cidadania e capitalismo: uma crítica à concepção liberal de cidadania.  Disponível em: <http://www.unicamp.br/cemarx/criticamarxista/16saes.pdf>.: digital, ",-5473,2,1,2010,,Complementar**,GCS010,Direitos e Cidadania,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"BON, M. F. Gramática Comunicativa: de la lengua o de la Idea.  Madrid: Edelsa, 1995. ",-5476,2,1,2010,Tomo 1 e 2,B¿sica**,GLA010,Estudos da língua espanhola I,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"ORTEGA, G.; ROCHEL, G. Dificultades del español.  Ariel: Barcelona, 1995. ",-5477,2,1,2010,,B¿sica**,GLA010,Estudos da língua espanhola I,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"PENNY, R. Variación y cambio en español.  Madrid: Versión esp. de Juan Sánchez Méndez (BRH, Estudios y Ensayos, 438)Gredos, 2004. ",-5478,2,1,2010,,Complementar**,GLA010,Estudos da língua espanhola I,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
"MEYER, M.; BABER, R.; PFAFFENBERGER, B. Nosso futuro e o computador.  Porto Alegre:: Bookman, 1999. ",-5458,2,1,2010,,Complementar**,GEX002,Introdução à Informática,1801,1801201021,LICENCIATURA EM PORTUGUÊS E ESPANHOL - NOTURNO,1,,,30,0,Biblioteca Chapecó,0,,
